,Salary,Designation,JobCity,Gender,10percentage,10board,12graduation,12percentage,12board,CollegeID,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityID,CollegeCityTier,CollegeState,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,DOJ_year,DOJ_month,age,Job_Role
27,300000.0,ase,bangalore,m,76.8,state borad,2009,83.0,state board,64,2,B.Tech/B.E.,ece,76.44,64,0,Uttar Pradesh,2014,535,510,605,0.8816200695,0,420,0,0,0,0,0,0.99,1.3779,0.7785,-0.2344,-0.6692,2014,9,31,Other
28,145000.0,telecommunication engineer,noida,m,84.0,cbse,2011,68.0,cbse,76,2,B.Tech/B.E.,ece,72.0,76,0,Uttar Pradesh,2015,580,570,385,0.2073921697,335,260,0,0,0,313,0,0.1282,0.7119,1.3933,-0.3612,-0.0943,2015,2,30,Hardware Engineer
29,220000.0,java software engineer,gurgaon,m,64.0,cbse,2010,74.0,cbse,57,2,B.Tech/B.E.,it,68.0,57,0,Haryana,2014,485,375,435,0.4867470084,345,0,376,0,0,0,0,-3.1994,-1.8393,0.0552,0.0623,-0.7615,2014,11,31,Software Engineer
30,530000.0,systems engineer,hyderabad,m,84.0,state borad,2007,92.0,state board,5003,2,B.Tech/B.E.,cse,77.2,5003,0,Andhra Pradesh,2011,475,405,695,0.6707431514,455,0,0,0,0,0,0,-0.4173,0.6568,-0.0537,-1.2303,-0.9194,2011,12,34,System Engineer
31,340000.0,software engineer,bangalore,m,77.2,state borad,2010,86.1,state board,7282,2,B.Tech/B.E.,cse,71.0,7282,0,Tamil Nadu,2014,560,485,450,0.6226429158,485,0,407,0,0,0,0,-0.0154,1.2114,1.0859,-1.5021,0.2889,2014,8,31,Software Engineer
32,360000.0,application developer,noida,f,87.0,cbse,2009,84.4,cbse,8195,1,B.Tech/B.E.,cse,79.3,8195,1,Delhi,2013,570,475,295,0.4138382558,385,0,0,0,0,0,0,-0.7335,-0.4536,-1.0659,1.1601,-0.4776,2013,10,32,Developer
33,145000.0,ios developer,kolkata,m,73.0,state borad,2010,68.4,state board,8297,2,B.Tech/B.E.,it,74.3,8297,1,West Bengal,2014,560,530,605,0.9113952784,445,0,500,0,0,0,0,-0.7335,0.5454,-0.7585,-0.6147,1.4386,2014,10,32,Developer
34,215000.0,executive assistant,bangalore,f,71.0,cbse,2009,68.0,icse,7869,2,B.Tech/B.E.,cse,70.86,7869,0,Uttar Pradesh,2013,430,510,405,0.3565364877,465,0,346,0,0,0,0,1.5644,1.0449,0.3174,-1.8824,1.0554,2015,1,34,Other
35,350000.0,online marketing manager,mohali,f,85.0,cbse,2008,61.0,cbse,272,2,B.Tech/B.E.,ece,64.98,272,0,Punjab,2011,570,475,430,-1.0,0,0,0,0,0,0,0,-0.4854,-0.5213,2.1129,-0.735,1.8224,2014,3,33,Manager
36,270000.0,software engineer,hyderabad,f,91.5,state borad,2009,93.8,state board,11509,1,B.Tech/B.E.,cse,74.1,11509,1,Telangana,2013,380,535,530,0.5259225843,415,0,0,0,0,0,0,-1.0208,0.2124,0.4711,0.2727,-0.0943,2013,3,31,Software Engineer
37,80000.0,documentation specialist,gurgaon,m,77.0,cbse,2010,85.4,cbse,272,2,B.Tech/B.E.,ece,63.9,272,0,Punjab,2014,475,605,415,0.6493897148,435,356,0,0,0,0,0,0.2718,0.5454,0.3174,-1.8824,-0.4776,2010,10,31,Other
38,330000.0,associate software engineer,bangalore,m,52.33,state borad,2007,67.0,state board,44,2,MCA,cse,77.15,44,0,Uttar Pradesh,2013,450,525,545,0.7357957092,475,0,0,0,0,0,0,-0.0154,1.2114,0.6248,0.7798,0.8637,2014,1,32,Software Engineer
39,200000.0,management trainee,-1,m,88.0,state borad,2008,89.66,state board,867,2,B.Tech/B.E.,ece,76.4,867,0,Kerala,2012,510,640,635,0.124502074,0,233,0,0,0,0,0,0.3941,1.2808,0.2366,-2.1998,-0.4455,2013,1,32,Management
40,120000.0,site manager,jhansi,m,66.6,cbse,2007,68.6,state board,105,2,B.Tech/B.E.,me,60.22,105,0,Uttar Pradesh,2011,425,595,475,0.1304417357,0,0,0,286,0,0,0,-0.4173,0.3448,0.0914,-0.4078,0.6603,2011,6,34,Manager
41,145000.0,software developer,delhi,m,75.0,cbse,2009,60.0,cbse,105,2,B.Tech/B.E.,cse,66.0,105,0,Uttar Pradesh,2014,380,545,460,0.3565364877,395,0,346,0,0,0,0,-0.8772,-1.1196,-1.0659,-1.2486,-1.4356,2014,7,31,Developer
42,350000.0,associate software engineer,bangalore,m,91.4,icse,2010,73.0,cbse,119,1,B.Tech/B.E.,it,71.0,119,0,Uttar Pradesh,2014,555,560,825,0.2378028398,525,0,315,0,0,0,0,-0.0154,0.2578,-0.5349,-1.1218,-1.359,2014,8,32,Software Engineer
43,120000.0,.net developer,hyderabad,m,59.0,state borad,2010,87.7,state board,16150,2,B.Tech/B.E.,ece,71.04,16150,1,Telangana,2014,300,340,355,0.1121394382,155,228,0,0,0,0,0,-0.0154,-2.4516,-0.4511,0.2727,-3.1602,2014,4,30,Developer
44,380000.0,programmer analyst,bangalore,f,84.5,cbse,2007,82.5,cbse,3461,2,B.Tech/B.E.,cse,92.1,3461,0,Karnataka,2011,425,525,515,0.3775514194,375,0,0,0,0,0,0,0.51,0.6568,-0.6343,0.2973,0.1864,2012,5,35,Analyst
45,110000.0,production engineer,chennai,m,95.8,state borad,2010,87.16,state board,482,2,B.Tech/B.E.,me,79.0,482,0,Tamil Nadu,2014,430,395,500,0.0669607065,0,0,0,253,0,0,0,-0.5899,-1.1196,0.4711,-0.7415,-1.4356,2014,9,31,Hardware Engineer
46,205000.0,jr. software engineer,noida,f,85.6,cbse,2008,82.0,cbse,13094,2,B.Tech/B.E.,cse,74.01,13094,0,Haryana,2012,370,495,455,0.08005528134,445,0,253,0,0,0,0,0.1282,0.5454,0.1637,-0.4879,0.8637,2013,7,32,Software Engineer
47,95000.0,software developer,delhi,m,69.6,state borad,2008,71.4,state board,3054,2,B.Tech/B.E.,cse,77.0,3054,0,Orissa,2012,485,415,575,0.9256457671,0,0,0,0,0,0,0,-0.4173,0.6568,-0.7794,1.7074,0.1864,2012,10,32,Developer
48,390000.0,software engineer,bangalore,m,86.6,cbse,2009,75.0,cbse,11637,2,B.Tech/B.E.,cse,74.0,11637,0,Madhya Pradesh,2013,505,545,565,0.3565364877,475,0,346,0,0,0,0,-2.5039,0.0328,0.3817,0.26793,0.5024,2013,9,32,Software Engineer
49,270000.0,qa analyst,bangalore,m,81.92,state borad,2007,61.46,state board,1109,2,B.Tech/B.E.,it,57.54,1109,1,Karnataka,2011,565,465,415,0.8431237267,515,0,0,0,0,0,0,1.2828,1.7488,1.8331,-2.2879,1.1343,2012,5,34,Analyst
50,60000.0,trainee software developer,bhubaneswar,f,66.5,cbse,2005,49.5,state board,889,2,MCA,cse,89.7,889,0,Orissa,2011,505,505,485,0.9168699611,555,0,0,0,0,0,0,-1.0355,0.0328,-2.2308,1.0024,0.3444,2011,6,36,Developer
51,120000.0,ui developer,hyderabad,m,80.0,state borad,2009,72.5,state board,12867,2,B.Tech/B.E.,cse,57.8,12867,0,Andhra Pradesh,2013,580,485,455,0.7833035367,405,388,0,0,0,0,0,-0.4463,-0.1206,-1.0659,-0.1076,-1.244,2015,2,32,Developer
52,400000.0,software engineer,mumbai,m,85.2,icse,2010,81.5,icse,8350,2,B.Tech/B.E.,cse,57.64,8350,0,Uttar Pradesh,2014,545,385,485,0.6000571823,435,0,0,0,0,0,0,1.1336,0.3789,1.0859,0.653,0.2889,2015,4,31,Software Engineer
53,350000.0,assistant system engineer,mumbai,m,89.25,state borad,2010,78.0,state board,2066,2,B.Tech/B.E.,eie,80.0,2066,1,West Bengal,2014,570,510,545,0.7929362776,0,0,0,0,484,0,0,-0.159,-0.1206,-0.6048,-1.6289,-1.4356,2014,9,32,System Engineer
54,120000.0,android developer,delhi,f,58.4,cbse,2008,64.8,cbse,85,2,MCA,cse,80.0,85,0,Haryana,2014,440,415,554,0.7935806145,495,0,0,0,0,0,0,0.335,0.0924,-0.6582,-0.4821,-0.1543,2014,11,32,Developer
55,250000.0,software engineer,mangalore,m,90.8,state borad,2010,90.1,state board,12832,2,B.Tech/B.E.,cse,67.7,12832,0,Karnataka,2014,525,530,595,0.4867470084,485,0,376,0,0,0,0,-0.3027,0.7119,-0.2974,1.1601,-0.4776,2014,8,32,Software Engineer
56,240000.0,customer service,rewari,f,78.0,cbse,2006,70.1,cbse,166,2,B.Tech/B.E.,ece,68.2,166,0,Haryana,2011,415,595,495,0.6944793277,0,366,0,0,0,0,0,0.8192,-0.0842,-0.598,-0.6428,-0.6035,2013,3,34,Customer Service
57,525000.0,test engineer,hyderabad,f,89.88,cbse,2007,95.4,cbse,1027,2,B.Tech/B.E.,ece,80.8,1027,1,Telangana,2011,555,475,635,0.6944793277,0,366,0,0,0,420,0,0.3555,-0.2793,-0.6343,-0.2902,-0.2875,2012,3,34,Test Engineer
58,200000.0,project engineer,gaziabaad,m,63.3,state borad,2008,61.1,state board,11386,2,B.Tech/B.E.,ece,66.9,11386,0,Uttar Pradesh,2013,420,510,665,0.1121394382,0,228,0,0,0,0,0,-1.0208,-0.6201,-0.2974,-0.1076,-1.244,2013,6,33,Hardware Engineer
59,120000.0,software engineer,bangalore,m,72.0,cbse,1995,49.0,state board,712,2,B.Tech/B.E.,cse,55.0,712,0,Karnataka,2011,640,460,250,0.5259225843,415,300,0,366,0,0,400,-0.3014,-0.4353,-0.9245,-0.349,-0.4455,2009,9,46,Software Engineer
60,305000.0,software engineer,chennai,f,83.0,state borad,2009,79.0,state board,9173,2,B.Tech/B.E.,it,70.0,9173,1,Telangana,2013,430,410,310,0.1656330915,305,0,0,0,0,0,0,-0.159,-0.1206,0.1637,1.5404,-0.0943,2013,11,32,Software Engineer
61,300000.0,java developer,chennai,m,85.3,state borad,2010,88.3,state board,434,2,B.Tech/B.E.,cse,85.0,434,1,Tamil Nadu,2014,370,375,325,0.3565364877,315,0,346,0,0,0,0,1.8517,1.5444,0.3174,0.3995,0.6721,2014,10,30,Developer
62,145000.0,engineer,noida,f,81.0,cbse,2009,77.8,cbse,11942,2,B.Tech/B.E.,ece,65.35,11942,0,Uttar Pradesh,2014,535,510,390,0.2073921697,0,260,0,0,0,260,0,-1.1644,-0.9531,0.01,-0.7415,-0.8608,2014,6,32,Hardware Engineer
63,150000.0,management trainee,bhiwadi,m,60.66,state borad,2008,62.4,state board,9738,2,B.Tech/B.E.,me,69.3,9738,0,Uttar Pradesh,2013,370,410,470,0.7553751209,315,0,0,446,0,0,0,-2.2351,-2.6847,-2.6028,0.3995,-5.477,2014,10,32,Management
64,600000.0,java software engineer,gurgaon,m,78.0,cbse,2004,83.0,cbse,2,1,B.Tech/B.E.,it,72.13,2,1,Delhi,2010,444,555,695,0.9999045583,804,0,0,0,0,0,0,0.6646,0.3448,0.8171,0.6498,0.0284,2010,7,37,Software Engineer
65,310000.0,system engineer,mysore,m,89.37,state borad,2009,79.0,state board,2085,2,B.Tech/B.E.,eie,70.0,2085,0,West Bengal,2013,630,580,510,0.3387863472,0,292,0,0,0,0,0,0.99,1.2114,-0.2974,-1.1218,1.247,2014,2,33,System Engineer
66,455000.0,system engineer,bangalore,m,90.0,state borad,2006,94.4,state board,1396,2,B.Tech/B.E.,ece,76.12,1396,0,Andhra Pradesh,2010,505,525,595,0.124502074,615,233,0,0,0,0,0,-0.2628,-0.1232,0.0914,-1.2303,-0.1295,2011,1,34,System Engineer
67,400000.0,test engineer,bangalore,f,81.0,icse,2010,79.0,icse,64,2,B.Tech/B.E.,ece,71.5,64,0,Uttar Pradesh,2014,510,500,575,0.4935963873,455,324,0,0,0,0,0,-1.8825,-3.7836,-2.4491,0.9066,-1.8189,2014,8,32,Test Engineer
68,150000.0,recruitment coordinator,chennai,f,78.0,state borad,2006,86.67,state board,4173,2,B.Tech/B.E.,other,77.55,4173,1,Tamil Nadu,2010,535,465,535,0.9107701642,445,433,0,0,0,0,0,-0.881,1.4368,0.3817,-0.4078,-0.1295,2010,7,34,Other
69,250000.0,software developer,mangalore,m,84.4,cbse,2011,73.2,cbse,272,2,B.Tech/B.E.,cse,70.0,272,0,Punjab,2015,570,410,535,0.6707431514,455,0,0,0,0,0,0,-0.0154,0.8784,0.01,-0.7415,-0.2859,2015,6,31,Developer
70,320000.0,system engineer,chennai,m,89.0,state borad,2009,92.0,state board,14382,2,B.Tech/B.E.,eie,76.4,14382,1,Telangana,2013,625,645,605,0.9820571243,385,388,0,0,606,0,0,-1.4517,-1.4526,-1.2196,1.794,-2.3937,2014,3,31,System Engineer
71,250000.0,java software engineer,rajkot,m,86.0,state borad,2008,64.0,state board,9564,2,B.Tech/B.E.,it,61.17,9564,0,Gujarat,2013,665,545,415,0.9113952784,405,0,500,0,0,0,0,1.1336,1.3779,2.1617,-0.995,1.0554,2014,5,33,Software Engineer
72,200000.0,technical support engineer,bangalore,m,85.0,icse,2010,75.0,cbse,319,2,B.Tech/B.E.,cse,60.0,319,1,Karnataka,2014,675,480,500,0.8422483223,425,0,469,0,0,0,0,1.1336,1.0449,0.1637,-1.2486,0.0973,2014,6,31,Support
73,240000.0,android developer,greater noida,m,75.0,cbse,2009,64.0,cbse,184,2,B.Tech/B.E.,cse,67.0,184,0,Uttar Pradesh,2014,510,480,485,-1.0,0,0,0,0,0,0,0,-0.159,0.8784,1.2396,0.2727,-0.6692,2014,6,31,Developer
74,120000.0,data analyst,indore,f,86.0,state borad,2009,77.0,state board,4973,2,B.Tech/B.E.,cse,75.0,4973,0,Madhya Pradesh,2013,325,510,295,0.01854094168,415,0,192,0,0,0,0,0.1282,0.0459,0.1637,0.0192,-0.0943,2015,4,32,Analyst
75,300000.0,programmer analyst,bangalore,m,70.6,cbse,2010,78.67,state board,182,2,B.Tech/B.E.,ece,75.84,182,1,Karnataka,2014,580,485,510,0.05316030528,285,196,0,0,0,0,0,0.5591,0.2124,-1.2196,-0.7415,-0.8608,2014,9,31,Analyst
76,800000.0,software engineer,bangalore,m,93.44,state borad,2008,90.0,state board,1384,2,B.Tech/B.E.,cse,87.6,1384,0,Karnataka,2012,515,475,635,0.9421165515,575,0,0,0,0,0,0,-0.4173,0.9688,-0.1988,-0.2902,0.3049,2012,6,33,Software Engineer
77,120000.0,test engineer,-1,m,76.0,state borad,2009,72.0,state board,8888,2,B.Tech/B.E.,cse,63.2,8888,0,Tamil Nadu,2013,510,355,340,0.1230167316,285,0,0,0,0,0,0,-0.159,-0.2871,0.4711,0.2727,-0.4776,2014,7,32,Test Engineer
78,325000.0,system engineer,mysore,f,86.4,cbse,2010,78.2,cbse,6982,2,B.Tech/B.E.,ece,73.5,6982,1,Karnataka,2014,535,435,440,0.2073921697,355,260,530,0,0,0,0,0.8463,1.3779,1.3933,0.653,-0.2859,2014,12,30,System Engineer
79,100000.0,software developer,-1,f,86.0,state borad,2009,95.0,state board,4726,2,B.Tech/B.E.,ece,78.6,4726,0,Telangana,2013,405,545,450,0.6493897148,375,356,0,0,0,0,0,0.5591,-0.4536,0.01,-0.4879,0.6721,2013,8,31,Developer
80,300000.0,assistant software engineer,bangalore,m,84.83,cbse,2010,82.4,cbse,903,2,B.Tech/B.E.,cse,74.14,903,0,Uttar Pradesh,2014,665,595,705,0.744758354,505,0,438,0,0,0,0,-0.4463,0.2124,0.3174,-1.5021,-0.2859,2014,8,31,Software Engineer
81,280000.0,faculty,delhi,m,72.3,icse,2008,60.2,cbse,8546,2,B.Tech/B.E.,ece,69.38,8546,1,Rajasthan,2013,555,475,415,0.6944793277,0,366,0,0,0,393,0,1.4208,0.5454,-0.2974,1.0333,-0.6692,2014,10,33,Other
82,215000.0,entry level management trainee,delhi,f,69.0,cbse,2005,62.6,cbse,5605,2,B.Tech/B.E.,eie,76.25,5605,0,Madhya Pradesh,2010,395,455,475,0.6944793277,195,366,0,0,0,0,0,-0.4173,0.1888,-0.4891,0.4148,0.8183,2014,10,36,Management
83,145000.0,customer service representative,jaipur,m,80.0,state borad,2010,70.0,state board,9699,2,B.Tech/B.E.,ece,55.0,9699,1,Rajasthan,2014,430,450,385,-1.0,0,0,0,0,0,0,0,0.1282,-0.1206,0.9322,1.5404,0.0973,2014,6,30,Customer Service
84,445000.0,software test engineer,pune,f,73.33,cbse,2004,71.33,cbse,331,2,MCA,cse,61.0,331,1,Maharashtra,2010,375,535,534,0.6000571823,435,0,0,0,0,0,0,-2.272,-0.2793,-1.2148,0.8848,-0.7615,2011,11,36,Software Engineer
85,315000.0,firmware engineer,noida,m,86.16,cbse,2011,70.08,cbse,7376,2,B.Tech/B.E.,ece,63.13,7376,0,Uttar Pradesh,2015,455,595,500,0.2073921697,225,260,0,0,0,0,0,0.99,1.0449,1.7007,-2.0092,0.2889,2015,7,30,Hardware Engineer
86,100000.0,php developer,kolkata,f,75.0,state borad,2010,78.0,state board,12992,2,B.Tech/B.E.,cse,71.1,12992,1,West Bengal,2013,415,440,355,0.4883479768,405,0,0,0,0,0,0,0.8463,1.3779,1.0859,-0.995,1.247,2013,10,36,Developer
87,200000.0,software developer,noida,m,56.0,cbse,2009,56.0,state board,51,2,MCA,cse,62.0,51,0,Uttar Pradesh,2015,605,470,355,0.8431237267,515,0,0,0,0,0,0,0.7027,0.8784,0.3174,-1.1218,0.4805,2015,1,31,Developer
88,220000.0,research associate,hyderabad,f,87.0,cbse,2008,60.0,cbse,973,2,B.Tech/B.E.,cse,70.82,973,0,Uttar Pradesh,2013,640,605,400,0.8422483223,425,0,469,0,0,0,0,0.8463,1.2114,1.2396,-0.1076,1.247,2014,10,32,Other
89,370000.0,project engineer,kolkata,m,79.25,state borad,2008,80.0,state board,6814,2,B.Tech/B.E.,it,79.9,6814,0,West Bengal,2012,545,580,430,0.6359787565,445,0,0,0,0,0,0,0.8192,1.0858,-0.4891,-0.7603,-0.1295,2013,3,33,Hardware Engineer
90,145000.0,research analyst,pune,m,88.66,state borad,2008,84.33,state board,7236,2,B.Tech/B.E.,ece,60.0,7236,1,Maharashtra,2012,495,565,575,0.3760595867,335,300,0,0,0,260,0,1.2828,1.7878,1.1437,-0.6428,0.5024,2013,5,32,Analyst
91,275000.0,quality engineer,bangalore,m,80.8,state borad,2009,75.0,state board,6836,2,B.Tech/B.E.,ece,77.38,6836,1,Karnataka,2013,405,470,370,-1.0,475,0,500,0,0,0,0,1.4208,-0.7866,-0.1437,-1.5021,-0.4776,2014,4,32,Quality Engineer
92,1500000.0,application developer,hyderabad,m,79.0,state borad,2009,87.9,state board,9557,2,B.Tech/B.E.,cse,66.0,9557,1,Telangana,2013,315,435,355,0.3565364877,335,0,346,0,0,0,0,0.4155,0.5454,0.9322,-0.6147,0.8637,2014,11,32,Developer
93,325000.0,software engineer,gurgaon,m,70.0,icse,2010,65.0,cbse,1139,2,B.Tech/B.E.,it,66.0,1139,0,Chhattisgarh,2014,405,470,545,-1.0,0,0,0,0,0,0,0,0.4155,0.3789,-0.9122,-1.1218,-0.8608,2014,10,31,Software Engineer
94,275000.0,programmer,bangalore,m,81.16,icse,2008,68.5,icse,1087,2,B.Tech/B.E.,eie,61.5,1087,0,Orissa,2013,605,520,325,0.3387863472,455,292,0,0,0,0,0,1.4208,1.2114,0.6248,-0.995,-0.2859,2013,7,33,Programmer
